Filtre;Modalite;couleur
TYPECULTURE;ARBORICULTURE;"#006600"
TYPECULTURE;AUTRE_CULTURE_PERENNE;"#FF5050"
TYPECULTURE;GRANDE_CULTURE;"#FFC000"
TYPECULTURE;MARAICHAGE;"#FF6600"
TYPECULTURE;PRAIRIE;"#97B314"
TYPECULTURE;VITICULTURE;"#660066"
NOM_RESEAU;;"#31849B"
Protocole;Abeilles;"#EE7F00"
Protocole;Invertebres;"#97B314"
Protocole;Papillons;"#009EE0"
Protocole;Vers de terre;"#666666"
TYPECULTURE;GLOBAL;"#9f0d0d"
NOM_RESEAU;GLOBAL;"#9f0d0d"
REGIONNAME;;"#31849B"
REGIONNAME;GLOBAL;"#9f0d0d"
ANNEE;;"#31849B"
ANNEE;GLOBAL;"#9f0d0d"
REGION;GLOBAL;"#9f0d0d"
REGION;;"#666666"
CONDUITEPARCELLE;;"#31849B"
CONDUITEPARCELLE;GLOBAL;"#9f0d0d"
TRAVAILSOL;;"#31849B"
TRAVAILSOL;GLOBAL;"#9f0d0d"