;sp;ordre;famille;nom;nomscientific;indicateur;specialisation;especeOiseaux;nomscientific_long;shortlist
DENMIN;DENMIN;Piciformes;Picidés;Pic épeichette;Dendrocopos minor;FALSE;non;oui;Dendrocopos minor;TRUE
DENSTR;DENSTR;Passériformes;Parulidés;Paruline rayée;Dendroica striata;FALSE;non;oui;Dendroica striata;FALSE
DENSYR;DENSYR;Piciformes;Picidés;Pic syriaque;Dendrocopos syriacus;FALSE;non;oui;Dendrocopos syriacus;FALSE
DENVID;DENVID;Anatidés;Anatidés;Dendrocygne veuf;Dendrocygna viduata;FALSE;non;oui;Dendrocygna viduata;FALSE
DIOEXU;DIOEXU;Procellariiformes;Diomédéidés;Albatros hurleur;Diomedea exulans;FALSE;non;oui;Diomedea exulans;FALSE
DIOMEL;DIOMEL;Procellariiformes;Diomédéidés;Albatros à  sourcils noirs;Diomedea melanophrys;FALSE;non;oui;Diomedea melanophrys Temm.;FALSE
DRYMAR;DRYMAR;Piciformes;Picidés;Pic noir;Dryocopus martius;TRUE;milieux forestiers;oui;Dryocopus martius;TRUE
EGRALB;EGRALB;Ciconiiformes;Ardéidés;Grande Aigrette;Egretta alba;FALSE;non;oui;Egretta alba;FALSE
EGRGAR;EGRGAR;Ciconiiformes;Ardéidés;Aigrette garzette;Egretta garzetta;FALSE;non;oui;Egretta garzetta;TRUE
EGRGUL;EGRGUL;Ciconiiformes;Ardéidés;Aigrette des récifs;Egretta gularis;FALSE;non;oui;Egretta gularis;FALSE
ELACAE;ELACAE;Accipitriformes;Accipitridés;Elanion blanc;Elanus caeruleus;FALSE;non;oui;Elanus caeruleus;FALSE
EMBAUR;EMBAUR;Passériformes;Embérizidés;Bruant auréole;Emberiza aureola;FALSE;non;oui;Emberiza aureola Pallas;FALSE
EMBCAE;EMBCAE;Passériformes;Embérizidés;Bruant cendrillard;Emberiza caesia;FALSE;non;oui;Emberiza caesia Cretzsch.;FALSE
EMBCIA;EMBCIA;Passériformes;Embérizidés;Bruant fou;Emberiza cia;FALSE;non;oui;Emberiza cia;TRUE
EMBCIR;EMBCIR;Passériformes;Embérizidés;Bruant zizi;Emberiza cirlus;TRUE;milieux agricoles;oui;Emberiza cirlus;TRUE
EMBCIT;EMBCIT;Passériformes;Embérizidés;Bruant jaune;Emberiza citrinella;TRUE;milieux agricoles;oui;Emberiza citrinella;TRUE
EMBHOR;EMBHOR;Passériformes;Embérizidés;Bruant ortolan;Emberiza hortulana;TRUE;milieux agricoles;oui;Emberiza hortulana;TRUE
EMBLEU;EMBLEU;Passériformes;Embérizidés;Bruant à  calotte blanche;Emberiza leucocephalos;FALSE;non;oui;Emberiza leucocephalos Gmelin;FALSE
EMBMEL;EMBMEL;Passériformes;Embérizidés;Bruant mélanocéphale;Emberiza melanocephala;FALSE;non;oui;Emberiza melanocephala Scopoli;FALSE
EMBPUS;EMBPUS;Passériformes;Embérizidés;Bruant nain;Emberiza pusilla;FALSE;non;oui;Emberiza pusilla Pallas;FALSE
EMBSCH;EMBSCH;Passériformes;Embérizidés;Bruant des roseaux;Emberiza schoeniclus;FALSE;non;oui;Emberiza schoeniclus;TRUE
EREALP;EREALP;Passériformes;Alaudidés;Alouette hausse-col;Eremophila alpestris;FALSE;non;oui;Eremophila alpestris;FALSE
ERIRUB;ERIRUB;Passériformes;Turdidés;Rougegorge familier;Erithacus rubecula;TRUE;milieux forestiers;oui;Erithacus rubecula;TRUE
EUOMAL;EUOMAL;Passériformes;Estérildidés;Capucin bec-de-plomb;Euodice malabarica;FALSE;non;oui;Euodice malabarica;FALSE
FALBIA;FALBIA;Falconiformes;Falconidés;Faucon lanier;Falco biarmicus;FALSE;non;oui;Falco biarmicus;FALSE
FALCHE;FALCHE;Falconiformes;Falconidés;Faucon sacre;Falco cherrug;FALSE;non;oui;Falco cherrug Gray;FALSE
FALCOL;FALCOL;Falconiformes;Falconidés;Faucon émerillon;Falco columbarius;FALSE;non;oui;Falco columbarius;FALSE
FALELE;FALELE;Falconiformes;Falconidés;Faucon d'Eléonore;Falco eleonorae;FALSE;non;oui;Falco eleonorae Géné;FALSE
FALNAU;FALNAU;Falconiformes;Falconidés;Faucon crécerellette;Falco naumanni;FALSE;non;oui;Falco naumanni Fleischer;FALSE
FALPER;FALPER;Falconiformes;Falconidés;Faucon pèlerin;Falco peregrinus;FALSE;non;oui;Falco peregrinus Tunstall;TRUE
FALRUS;FALRUS;Falconiformes;Falconidés;Faucon gerfaut;Falco rusticolus;FALSE;non;oui;Falco rusticolus;FALSE
FALSUB;FALSUB;Falconiformes;Falconidés;Faucon hobereau;Falco subbuteo;FALSE;non;oui;Falco subbuteo;TRUE
FALTIN;FALTIN;Falconiformes;Falconidés;Faucon crécerelle;Falco tinnunculus;TRUE;milieux agricoles;oui;Falco tinnunculus;TRUE
FALVES;FALVES;Falconiformes;Falconidés;Faucon kobez;Falco vespertinus;FALSE;non;oui;Falco vespertinus;FALSE
FICALB;FICALB;Passériformes;Muscicapidés;Gobemouche à  collier;Ficedula albicollis;FALSE;non;oui;Ficedula albicollis;FALSE
FICHYP;FICHYP;Passériformes;Muscicapidés;Gobemouche noir;Ficedula hypoleuca;FALSE;non;oui;Ficedula hypoleuca;TRUE
FICPAR;FICPAR;Passériformes;Muscicapidés;Gobemouche nain;Ficedula parva;FALSE;non;oui;Ficedula parva;FALSE
FRAARC;FRAARC;Charadriiformes;Alcidés;Macareux moine;Fratercula arctica;FALSE;non;oui;Fratercula arctica;FALSE
FREMAG;FREMAG;Pélécaniformes;Frégatidés;Frégate superbe;Fregata magnificens;FALSE;non;oui;Fregata magnificens Mathews;FALSE
FRICOE;FRICOE;Passériformes;Fringillidés;Pinson des arbres;Fringilla coelebs;TRUE;generaliste;oui;Fringilla coelebs;TRUE
FRIMON;FRIMON;Passériformes;Fringillidés;Pinson du Nord;Fringilla montifringilla;FALSE;non;oui;Fringilla montifringilla;FALSE
FULATR;FULATR;Gruiformes;Rallidés;Foulque macroule;Fulica atra;FALSE;non;oui;Fulica atra;TRUE
FULCRI;FULCRI;Gruiformes;Rallidés;Foulque caronculée;Fulica cristata;FALSE;non;oui;Fulica cristata Gmelin;FALSE
FULGLA;FULGLA;Procellariiformes;Procéllariidés;Fulmar boréal;Fulmarus glacialis;FALSE;non;oui;Fulmarus glacialis;FALSE
GALCHL;GALCHL;Gruiformes;Rallidés;Gallinule poule-d'eau;Gallinula chloropus;FALSE;non;oui;Gallinula chloropus;TRUE
GALCRI;GALCRI;Passériformes;Alaudidés;Cochevis huppé;Galerida cristata;TRUE;milieux agricoles;oui;Galerida cristata;TRUE
GALGAL;GALGAL;Charadriiformes;Scolopacidés;Bécassine des marais;Gallinago gallinago;FALSE;non;oui;Gallinago gallinago;TRUE
GALMED;GALMED;Charadriiformes;Scolopacidés;Bécassine double;Gallinago media;FALSE;non;oui;Gallinago media;FALSE
GALTHE;GALTHE;Passériformes;Alaudidés;Cochevis de Thékla;Galerida theklae;FALSE;non;oui;Galerida theklae Brehm;FALSE
GARGLA;GARGLA;Passériformes;Corvidés;Geai des chênes;Garrulus glandarius;TRUE;generaliste;oui;Garrulus glandarius;TRUE
GAVADA;GAVADA;Gaviiformes;Gaviidés;Plongeon à  bec blanc;Gavia adamsii;FALSE;non;oui;Gavia adamsii;FALSE
GAVARC;GAVARC;Gaviiformes;Gaviidés;Plongeon arctique;Gavia arctica;FALSE;non;oui;Gavia arctica;FALSE
GAVIMM;GAVIMM;Gaviiformes;Gaviidés;Plongeon imbrin;Gavia immer;FALSE;non;oui;Gavia immer;FALSE
GAVSTE;GAVSTE;Gaviiformes;Gaviidés;Plongeon catmarin;Gavia stellata;FALSE;non;oui;Gavia stellata;FALSE
GELNIL;GELNIL;Charadriiformes;Sternidés;Sterne hansel;Gelochelidon nilotica;FALSE;non;oui;Gelochelidon nilotica;FALSE
GLANOR;GLANOR;Charadriiformes;Glaréolidés;Glaréole à  ailes noires;Glareola Nordmanni;FALSE;non;oui;Glareola Nordmanni Nordmann;FALSE
GLAPAS;GLAPAS;Strigiformes;Strigidés;Chevêchette d'Europe;Glaucidium passerinum;FALSE;non;oui;Glaucidium passerinum;FALSE
GLAPRA;GLAPRA;Charadriiformes;Glaréolidés;Glaréole à  collier;Glareola pratincola;FALSE;non;oui;Glareola pratincola;FALSE
GRIVES;GRIVES;Passériformes;Turdidés;Grive sp;Turdus sp.;FALSE;milieux forestiers;non;Turdus sp.;FALSE
GRUGRU;GRUGRU;Gruiformes;Gruidés;Grue cendrée;Grus grus;FALSE;non;oui;Grus grus;FALSE
GYPBAR;GYPBAR;Accipitriformes;Accipitridés;Gypaète barbu;Gypaetus barbatus;FALSE;non;oui;Gypaetus barbatus;FALSE
GYPFUL;GYPFUL;Accipitriformes;Accipitridés;Vautour fauve;Gyps fulvus;FALSE;non;oui;Gyps fulvus;FALSE
HAEOST;HAEOST;Charadriiformes;Haematropodidés;Huà®trier pie;Haematopus ostralegus;FALSE;non;oui;Haematopus ostralegus;FALSE
HALALB;HALALB;Accipitriformes;Accipitridés;Pygargue à  queue blanche;Haliaeetus albicilla;FALSE;non;oui;Haliaeetus albicilla;FALSE
HIEFAS;HIEFAS;Accipitriformes;Accipitridés;Aigle de Bonelli;Hieraaetus fasciatus;FALSE;non;oui;Hieraaetus fasciatus;FALSE
HIEPEN;HIEPEN;Accipitriformes;Accipitridés;Aigle botté;Hieraaetus pennatus;FALSE;non;oui;Hieraaetus pennatus;FALSE
HIMHIM;HIMHIM;Charadriiformes;Recurvirostridés;Echasse blanche;Himantopus himantopus;FALSE;non;oui;Himantopus himantopus;TRUE
HIPCAL;HIPCAL;Passériformes;Sylvidés;Hypolaïs bottée;Hippolais caligata;FALSE;non;oui;Hippolais caligata;FALSE
HIPICT;HIPICT;Passériformes;Sylvidés;Hypolaïs ictérine;Hippolais icterina;FALSE;non;oui;Hippolais icterina;TRUE
HIPOLI;HIPOLI;Passériformes;Sylvidés;Hypolaïs des oliviers;Hippolais olivetorum;FALSE;non;oui;Hippolais olivetorum;FALSE
HIPPAL;HIPPAL;Passériformes;Sylvidés;Hypolaïs pale;Hippolais pallida;FALSE;non;oui;Hippolais pallida;FALSE
HIPPOL;HIPPOL;Passériformes;Sylvidés;Hypolaïs polyglotte;Hippolais polyglotta;TRUE;generaliste;oui;Hippolais polyglotta;TRUE
HIRDAU;HIRDAU;Passériformes;Hirundinidés;Hirondelle rousseline;Hirundo daurica;FALSE;non;oui;Hirundo daurica;FALSE
HIRRUS;HIRRUS;Passériformes;Hirundinidés;Hirondelle rustique;Hirundo rustica;TRUE;milieux batis;oui;Hirundo rustica;TRUE
HISHIS;HISHIS;Ansériformes;Anatidés;Arlequin plongeur;Histrionicus histrionicus;FALSE;non;oui;Histrionicus histrionicus;FALSE
HOPSPI;HOPSPI;Charadriiformes;Charadriidés;Vanneau éperonné;Hoplopterus spinosus;FALSE;non;oui;Hoplopterus spinosus;FALSE
HYDPEL;HYDPEL;Procellariiformes;Hydrobatidés;Océanite tempête;Hydrobates pelagicus;FALSE;non;oui;Hydrobates pelagicus;FALSE
IXOMIN;IXOMIN;Ciconiiformes;Ardéidés;Blongios nain;Ixobrychus minutus;FALSE;non;oui;Ixobrychus minutus;FALSE
JYNTOR;JYNTOR;Piciformes;Picidés;Torcol fourmilier;Jynx torquilla;FALSE;non;oui;Jynx torquilla;TRUE
LAGLAG;LAGLAG;Galliformes;Tétraonidés;Lagopède des saules;Lagopus lagopus;FALSE;non;oui;Lagopus lagopus;FALSE
LAGMUT;LAGMUT;Galliformes;Tétraonidés;Lagopède alpin;Lagopus mutus;FALSE;non;oui;Lagopus mutus;FALSE
LANCOL;LANCOL;Passériformes;Laniidés;Pie-grièche écorcheur;Lanius collurio;TRUE;milieux agricoles;oui;Lanius collurio;TRUE
LANEXC;LANEXC;Passériformes;Laniidés;Pie-grièche grise;Lanius excubitor;FALSE;non;oui;Lanius excubitor;TRUE
LANISA;LANISA;Passériformes;Laniidés;Pie-grièche isabelle;Lanius isabellinus;FALSE;non;oui;Lanius isabellinus Ehrenberg;FALSE
LANMER;LANMER;Passériformes;Laniidés;Pie-grièche méridionale;Lanius meridionalis;FALSE;non;oui;Lanius meridionalis Temminck;TRUE
LANMIN;LANMIN;Passériformes;Laniidés;Pie-grièche à  poitrine rose;Lanius minor;FALSE;non;oui;Lanius minor Gmelin;FALSE
LANSEN;LANSEN;Passériformes;Laniidés;Pie-grièche à  tête rousse;Lanius senator;FALSE;non;oui;Lanius senator;TRUE
LARARG;LARARG;Charadriiformes;Laridés;Goéland argenté;Larus argentatus;FALSE;non;oui;Larus argentatus Pontropp;TRUE
LARATR;LARATR;Charadriiformes;Laridés;Mouette atricille;Larus atricilla;FALSE;non;oui;Larus atricilla;FALSE
LARAUD;LARAUD;Charadriiformes;Laridés;Goéland d'Audouin;Larus audouinii;FALSE;non;oui;Larus audouinii Payraudeau;FALSE
LARCAC;LARCAC;Charadriiformes;Laridés;Goéland pontique;Larus cachinnans;FALSE;non;oui;Larus cachinnans Pallas;FALSE
LARCAN;LARCAN;Charadriiformes;Laridés;Goéland cendré;Larus canus;FALSE;non;oui;Larus canus;FALSE
LARDEL;LARDEL;Charadriiformes;Laridés;Goéland à  bec cerclé;Larus delawarensis;FALSE;non;oui;Larus delawarensis Ord;FALSE
LARFUS;LARFUS;Charadriiformes;Laridés;Goéland brun;Larus fuscus;FALSE;non;oui;Larus fuscus;TRUE
LARGEN;LARGEN;Charadriiformes;Laridés;Goéland railleur;Larus genei;FALSE;non;oui;Larus genei Brème;FALSE
LARGLA;LARGLA;Charadriiformes;Laridés;Goéland à  ailes blanches;Larus glaucoides;FALSE;non;oui;Larus glaucoides Meyer;FALSE
LARHEU;LARHEU;Charadriiformes;Laridés;Goéland de Sibérie;Larus heuglini;FALSE;non;oui;Larus heuglini;FALSE
LARHYP;LARHYP;Charadriiformes;Laridés;Goéland bourgmestre;Larus hyperboreus;FALSE;non;oui;Larus hyperboreus Gunnerus;FALSE
LARMAR;LARMAR;Charadriiformes;Laridés;Goéland marin;Larus marinus;FALSE;non;oui;Larus marinus;TRUE
LARMEL;LARMEL;Charadriiformes;Laridés;Mouette mélanocéphale;Larus melanocephalus;FALSE;non;oui;Larus melanocephalus Temminck;TRUE
LARMIC;LARMIC;Charadriiformes;Laridés;Goéland leucophée;Larus michahellis;FALSE;non;oui;Larus michahellis;TRUE
LARMIN;LARMIN;Charadriiformes;Laridés;Mouette pygmée;Larus minutus;FALSE;non;oui;Larus minutus Pallas;FALSE
LARPHI;LARPHI;Charadriiformes;Laridés;Mouette de Bonaparte;Larus philadelphia;FALSE;non;oui;Larus philadelphia;FALSE
LARPIP;LARPIP;Charadriiformes;Laridés;Mouette de Franklin;Larus pipixcan;FALSE;non;oui;Larus pipixcan Wagler;FALSE
LARRID;LARRID;Charadriiformes;Laridés;Mouette rieuse;Larus ridibundus;FALSE;non;oui;Larus ridibundus;TRUE
LARSAB;LARSAB;Charadriiformes;Laridés;Mouette de Sabine;Larus sabini;FALSE;non;oui;Larus sabini Sabine;FALSE
LEILUT;LEILUT;Passériformes;Timaliidés;Leïothrix jaune;Leiothrix lutea;FALSE;non;oui;Leiothrix lutea;FALSE
LIMFAL;LIMFAL;Charadriiformes;Scolopacidés;Bécasseau falcinelle;Limicola falcinellus;FALSE;non;oui;Limicola falcinellus;FALSE
LIMICO;LIMICO;Charadriiformes;Scolopacidés;Limicole sp; ;FALSE;non;non;;FALSE
LIMLAP;LIMLAP;Charadriiformes;Scolopacidés;Barge rousse;Limosa lapponica;FALSE;non;oui;Limosa lapponica;FALSE
LIMLIM;LIMLIM;Charadriiformes;Scolopacidés;Barge à  queue noire;Limosa limosa;FALSE;non;oui;Limosa limosa;FALSE
LIMSCO;LIMSCO;Charadriiformes;Scolopacidés;Bécassin à  long bec;Limnodromus scolopaceus;FALSE;non;oui;Limnodromus scolopaceus;FALSE
LOCCER;LOCCER;Passériformes;Sylvidés;Locustelle de Pallas;Locustella certhiola;FALSE;non;oui;Locustella certhiola;FALSE
LOCFAS;LOCFAS;Passériformes;Sylvidés;Locustelle fasciée;Locustella fasciolata;FALSE;non;oui;Locustella fasciolata;FALSE
LOCFLU;LOCFLU;Passériformes;Sylvidés;Locustelle fluviatile;Locustella fluviatilis;FALSE;non;oui;Locustella fluviatilis;FALSE
LOCLAN;LOCLAN;Passériformes;Sylvidés;Locustelle lancéolée;Locustella lanceolata;FALSE;non;oui;Locustella lanceolata;FALSE
LOCLUS;LOCLUS;Passériformes;Sylvidés;Locustelle luscinioïde;Locustella luscinioides;FALSE;non;oui;Locustella luscinioides;FALSE
LOCNAE;LOCNAE;Passériformes;Sylvidés;Locustelle tachetée;Locustella naevia;FALSE;non;oui;Locustella naevia;TRUE
LOXCUR;LOXCUR;Passériformes;Fringillidés;Bec-croisé des sapins;Loxia curvirostra;FALSE;non;oui;Loxia curvirostra;TRUE
LOXLEU;LOXLEU;Passériformes;Fringillidés;Bec-croisé bifascié;Loxia leucoptera;FALSE;non;oui;Loxia leucoptera Gmelin;FALSE
LOXPYT;LOXPYT;Passériformes;Fringillidés;Bec-croisé perroquet;Loxia pytyopsittacus;FALSE;non;oui;Loxia pytyopsittacus Borkhausen;FALSE
LOXSCO;LOXSCO;Passériformes;Fringillidés;Bec-croisé d'Ecosse;Loxia scotica;FALSE;non;oui;Loxia scotica;FALSE
LULARB;LULARB;Passériformes;Alaudidés;Alouette lulu;Lullula arborea;TRUE;milieux agricoles;oui;Lullula arborea;TRUE
LUSLUS;LUSLUS;Passériformes;Turdidés;Rossignol progné;Luscinia luscinia;FALSE;non;oui;Luscinia luscinia;FALSE
LUSMEG;LUSMEG;Passériformes;Turdidés;Rossignol philomèle;Luscinia megarhynchos;TRUE;generaliste;oui;Luscinia megarhynchos Brehm;TRUE
LUSSVE;LUSSVE;Passériformes;Turdidés;Gorgebleue à  miroir;Luscinia svecica;FALSE;non;oui;Luscinia svecica;TRUE
LYMMIN;LYMMIN;Charadriiformes;Scolopacidés;Bécassine sourde;Lymnocryptes minimus;FALSE;non;oui;Lymnocryptes minimus;FALSE
LYNPAR;LYNPAR;Carnivores;Félidae;Lynx d'Espagne;Lynx pardina;FALSE;non;non;Lynx pardina  Temminck 1824;FALSE
MARANG;MARANG;Ansériformes;Anatidés;Sarcelle marbrée;Marmaronetta angustirostris;FALSE;non;oui;Marmaronetta angustirostris;FALSE
MELCAL;MELCAL;Passériformes;Alaudidés;Alouette calandre;Melanocorypha calandra;FALSE;non;oui;Melanocorypha calandra;FALSE
MELFUS;MELFUS;Ansériformes;Anatidés;Macreuse brune;Melanitta fusca;FALSE;non;oui;Melanitta fusca;FALSE
MELNIG;MELNIG;Ansériformes;Anatidés;Macreuse noire;Melanitta nigra;FALSE;non;oui;Melanitta nigra;FALSE
MELPER;MELPER;Ansériformes;Anatidés;Macreuse à  front blanc;Melanitta perspicillata;FALSE;non;oui;Melanitta perspicillata;FALSE
MERALB;MERALB;Ansériformes;Anatidés;Harle piette;Mergus albellus;FALSE;non;oui;Mergus albellus;FALSE
MERAPI;MERAPI;Coraciiformes;Méropidés;Guêpier d'Europe;Merops apiaster;FALSE;non;oui;Merops apiaster;TRUE
MERMER;MERMER;Ansériformes;Anatidés;Harle bièvre;Mergus merganser;FALSE;non;oui;Mergus merganser;FALSE
MERPER;MERPER;Coraciiformes;Méropidés;Guêpier de Perse;Merops persicus;FALSE;non;oui;Merops persicus;FALSE
MERSER;MERSER;Ansériformes;Anatidés;Harle huppé;Mergus serrator;FALSE;non;oui;Mergus serrator;FALSE
MICHIM;MICHIM;Charadriiformes;Scolopacidés;Bécasseau à  échasses;Micropalama himantopus;FALSE;non;oui;Micropalama himantopus;FALSE
MILCAL;MILCAL;Passériformes;Embérizidés;Bruant proyer;Miliaria calandra;TRUE;milieux agricoles;oui;Miliaria calandra;FALSE
MILMIG;MILMIG;Accipitriformes;Accipitridés;Milan noir;Milvus migrans;FALSE;non;oui;Milvus migrans;TRUE
MILMIL;MILMIL;Accipitriformes;Accipitridés;Milan royal;Milvus milvus;FALSE;non;oui;Milvus milvus;TRUE
MONNIV;MONNIV;Passériformes;Passéridés;Niverolle alpine;Montifringilla nivalis;FALSE;non;oui;Montifringilla nivalis;FALSE
MONSAX;MONSAX;Passériformes;Turdidés;Monticole de roche;Monticola saxatilis;FALSE;non;oui;Monticola saxatilis;TRUE
MONSOL;MONSOL;Passériformes;Turdidés;Monticole bleu;Monticola solitarius;FALSE;non;oui;Monticola solitarius;TRUE
MOTALB;MOTALB;Passériformes;Motacillidés;Bergeronnette grise;Motacilla alba;FALSE;non;oui;Motacilla alba;TRUE
MOTCIN;MOTCIN;Passériformes;Motacillidés;Bergeronnette des ruisseaux;Motacilla cinerea;FALSE;non;oui;Motacilla cinerea Tunstall;TRUE
MOTCIT;MOTCIT;Passériformes;Motacillidés;Bergeronnette citrine;Motacilla citreola;FALSE;non;oui;Motacilla citreola Pallas;FALSE
MOTFLA;MOTFLA;Passériformes;Motacillidés;Bergeronnette printanière;Motacilla flava;TRUE;milieux agricoles;oui;Motacilla flava;TRUE
MOTIMA;MOTIMA;Passériformes;Motacillidés;Bergeronnette flavéole;Motacilla flavissima;FALSE;non;oui;Motacilla flavissima;FALSE
MUSSTR;MUSSTR;Passériformes;Muscicapidés;Gobemouche gris;Muscicapa striata;FALSE;non;oui;Muscicapa striata;TRUE
NEOPER;NEOPER;Accipitriformes;Accipitridés;Vautour percnoptère;Neophron percnopterus;FALSE;non;oui;Neophron percnopterus;FALSE
NETRUF;NETRUF;Ansériformes;Anatidés;Nette rousse;Netta rufina;FALSE;non;oui;Netta rufina;FALSE
NUCCAR;NUCCAR;Passériformes;Corvidés;Cassenoix moucheté;Nucifraga caryocatactes;FALSE;non;oui;Nucifraga caryocatactes;TRUE
NUMARQ;NUMARQ;Charadriiformes;Scolopacidés;Courlis cendré;Numenius arquata;FALSE;non;oui;Numenius arquata;TRUE
NUMPHA;NUMPHA;Charadriiformes;Scolopacidés;Courlis corlieu;Numenius phaeopus;FALSE;non;oui;Numenius phaeopus;FALSE
NUMTEN;NUMTEN;Charadriiformes;Scolopacidés;Courlis à  bec grêle;Numenius tenuirostris;FALSE;non;oui;Numenius tenuirostris Vieillot;FALSE
NYCNYC;NYCNYC;Ciconiiformes;Ardéidés;Bihoreau gris;Nycticorax nycticorax;FALSE;non;oui;Nycticorax nycticorax;TRUE
NYCSCA;NYCSCA;Strigiformes;Strigidés;Harfang des neiges;Nyctea scandiaca;FALSE;non;oui;Nyctea scandiaca;FALSE
OCECAS;OCECAS;Procellariiformes;Hydrobatidés;Océanite de Castro;Oceanodroma castro;FALSE;non;oui;Oceanodroma castro;FALSE
OCELEU;OCELEU;Procellariiformes;Hydrobatidés;Océanite culblanc;Oceanodroma leucorhoa;FALSE;non;oui;Oceanodroma leucorhoa;FALSE
OCEMON;OCEMON;Procellariiformes;Hydrobatidés;Océanite de Swinhoe;Oceanodroma monorhis;FALSE;non;oui;Oceanodroma monorhis;FALSE
OCEOCE;OCEOCE;Procellariiformes;Hydrobatidés;Océanite de Wilson;Oceanites oceanicus;FALSE;non;oui;Oceanites oceanicus;FALSE
OENDES;OENDES;Passériformes;Turdidés;Traquet du désert;Oenanthe deserti;FALSE;non;oui;Oenanthe deserti;FALSE
OENHIS;OENHIS;Passériformes;Turdidés;Traquet oreillard;Oenanthe hispanica;FALSE;non;oui;Oenanthe hispanica;TRUE
OENISA;OENISA;Passériformes;Turdidés;Traquet isabelle;Oenanthe isabellina;FALSE;non;oui;Oenanthe isabellina;FALSE
OENLEU;OENLEU;Passériformes;Turdidés;Traquet rieur;Oenanthe leucura;FALSE;non;oui;Oenanthe leucura;FALSE
OENOEN;OENOEN;Passériformes;Turdidés;Traquet motteux;Oenanthe oenanthe;TRUE;milieux agricoles;oui;Oenanthe oenanthe;TRUE
OENPLE;OENPLE;Passériformes;Turdidés;Traquet pie;Oenanthe pleschanka;FALSE;non;oui;Oenanthe pleschanka;FALSE
ORIORI;ORIORI;Passériformes;Oriolidés;Loriot d'Europe;Oriolus oriolus;TRUE;generaliste;oui;Oriolus oriolus;TRUE
OTITAR;OTITAR;Gruiformes;Otididés;Outarde barbue;Otis tarda;FALSE;non;oui;Otis tarda;FALSE
OTUSCO;OTUSCO;Strigiformes;Strigidés;Petit-duc scops;Otus scops;FALSE;non;oui;Otus scops;FALSE
OXYJAM;OXYJAM;Ansériformes;Anatidés;Erismature rousse;Oxyura jamaicensis;FALSE;non;oui;Oxyura jamaicensis;FALSE
OXYLEU;OXYLEU;Ansériformes;Anatidés;Erismature à  tête blanche;Oxyura leucocephala;FALSE;non;oui;Oxyura leucocephala;FALSE
PAGEBU;PAGEBU;Charadriiformes;Laridés;Mouette ivoire;Pagophila eburnea;FALSE;non;oui;Pagophila eburnea;FALSE
PANBIA;PANBIA;Passériformes;Timaliidés;Panure à  moustaches;Panurus biarmicus;FALSE;non;oui;Panurus biarmicus;FALSE
PANHAL;PANHAL;Accipitriformes;Pandionidés;Balbuzard pêcheur;Pandion haliaetus;FALSE;non;oui;Pandion haliaetus;FALSE
PARAME;PARAME;Passériformes;Parulidés;Paruline à  collier;Parula americana;FALSE;non;oui;Parula americana;FALSE
PARATE;PARATE;Passériformes;Paridés;Mésange noire;Parus ater;TRUE;milieux forestiers;oui;Parus ater;TRUE
PARCAE;PARCAE;Passériformes;Paridés;Mésange bleue;Parus caeruleus;TRUE;generaliste;oui;Parus caeruleus;TRUE
PARCIN;PARCIN;Passériformes;Paridés;Mésange lapone;Parus cinctus;FALSE;non;oui;Parus cinctus;FALSE
PARCRI;PARCRI;Passériformes;Paridés;Mésange huppée;Parus cristatus;TRUE;milieux forestiers;oui;Parus cristatus;TRUE
PARCYA;PARCYA;Passériformes;Paridés;Mésange azurée;Parus cyanus;FALSE;non;oui;Parus cyanus Pallas;FALSE
PARLUG;PARLUG;Passériformes;Paridés;Mésange lugubre;Parus lugubris;FALSE;non;oui;Parus lugubris;FALSE
